Percentile,1999 to 2000,2000 to 2001,2001 to 2002,2002 to 2003,2003 to 2004,2004 to 2005,2005 to 2006,2006 to 2007,2007 to 2008,2009 to 2010,2010 to 2011,2011 to 2012,2012 to 2013,2013 to 2014,2014 to 2015,2015 to 2016,2016 to 2017,2017 to 2018,2018 to 2019,2019 to 2020,2020 to 2021,2021 to 2022,2022 to 2023
 36 , 11300 , 11600 , 12300 , 12400 , 12600 , 12800 , 13300 , 13900 , 14500 , 15600 , 15400 , 16300 , 16900 , 17700 , 18200 , 18900 , 19300 , 20100 , 20600 , 21500 , 21800 , 22500 , 23400 
 37 , 11600 , 11800 , 12500 , 12600 , 12800 , 13000 , 13600 , 14100 , 14800 , 15900 , 15700 , 16600 , 17200 , 18000 , 18400 , 19100 , 19600 , 20400 , 20900 , 21800 , 22000 , 22800 , 23700 
 38 , 11800 , 12000 , 12700 , 12900 , 13000 , 13300 , 13800 , 14400 , 15000 , 16200 , 16000 , 16800 , 17500 , 18200 , 18700 , 19400 , 19900 , 20700 , 21200 , 22100 , 22400 , 23100 , 24000 
 39 , 12000 , 12200 , 12900 , 13100 , 13300 , 13500 , 14100 , 14600 , 15300 , 16400 , 16300 , 17100 , 17700 , 18500 , 19000 , 19700 , 20200 , 21000 , 21500 , 22400 , 22600 , 23400 , 24400 
 40 , 12200 , 12400 , 13100 , 13300 , 13500 , 13800 , 14400 , 14900 , 15600 , 16700 , 16500 , 17400 , 18000 , 18800 , 19300 , 20000 , 20500 , 21300 , 21800 , 22700 , 23000 , 23700 , 24700 
 41 , 12400 , 12700 , 13400 , 13600 , 13800 , 14000 , 14600 , 15100 , 15800 , 17000 , 16800 , 17600 , 18300 , 19100 , 19500 , 20300 , 20800 , 21600 , 22100 , 23000 , 23300 , 24100 , 25000 
 42 , 12600 , 12900 , 13600 , 13800 , 14000 , 14300 , 14900 , 15400 , 16100 , 17200 , 17100 , 17900 , 18600 , 19300 , 19800 , 20600 , 21100 , 21900 , 22400 , 23300 , 23600 , 24400 , 25400 
 43 , 12800 , 13100 , 13800 , 14100 , 14200 , 14500 , 15100 , 15700 , 16400 , 17500 , 17400 , 18200 , 18800 , 19600 , 20100 , 20900 , 21400 , 22200 , 22700 , 23600 , 23900 , 24700 , 25800 
 44 , 13000 , 13300 , 14100 , 14300 , 14500 , 14800 , 15400 , 16000 , 16700 , 17800 , 17700 , 18500 , 19100 , 19900 , 20400 , 21200 , 21700 , 22500 , 23000 , 24000 , 24200 , 25100 , 26100 
 45 , 13200 , 13600 , 14300 , 14500 , 14700 , 15100 , 15700 , 16200 , 17000 , 18100 , 17900 , 18800 , 19400 , 20200 , 20700 , 21500 , 22000 , 22800 , 23300 , 24300 , 24600 , 25400 , 26500 
 46 , 13400 , 13800 , 14500 , 14800 , 15000 , 15300 , 16000 , 16500 , 17300 , 18400 , 18200 , 19100 , 19700 , 20600 , 21100 , 21800 , 22300 , 23100 , 23700 , 24600 , 24900 , 25700 , 26800 
 47 , 13700 , 14100 , 14800 , 15000 , 15200 , 15600 , 16300 , 16800 , 17600 , 18700 , 18500 , 19400 , 20000 , 20900 , 21400 , 22200 , 22600 , 23400 , 24000 , 25000 , 25200 , 26100 , 27200 
 48 , 13900 , 14300 , 15000 , 15300 , 15500 , 15900 , 16600 , 17100 , 17900 , 19000 , 18800 , 19700 , 20400 , 21200 , 21700 , 22500 , 22900 , 23800 , 24300 , 25300 , 25600 , 26500 , 27600 
 49 , 14100 , 14500 , 15300 , 15500 , 15700 , 16200 , 16800 , 17400 , 18200 , 19300 , 19100 , 20000 , 20700 , 21500 , 22000 , 22800 , 23300 , 24100 , 24700 , 25600 , 26000 , 26900 , 28000 
 50 , 14400 , 14800 , 15500 , 15800 , 16000 , 16400 , 17100 , 17700 , 18500 , 19600 , 19500 , 20300 , 21000 , 21900 , 22400 , 23200 , 23600 , 24400 , 25000 , 26000 , 26300 , 27200 , 28400 
 51 , 14600 , 15000 , 15800 , 16100 , 16300 , 16700 , 17400 , 18100 , 18800 , 19900 , 19800 , 20700 , 21400 , 22200 , 22700 , 23500 , 23900 , 24800 , 25400 , 26400 , 26700 , 27600 , 28800 
 52 , 14800 , 15300 , 16000 , 16300 , 16600 , 17000 , 17700 , 18400 , 19100 , 20200 , 20100 , 21000 , 21700 , 22500 , 23000 , 23900 , 24300 , 25200 , 25700 , 26800 , 27100 , 28000 , 29200 
 53 , 15100 , 15500 , 16300 , 16600 , 16800 , 17300 , 18000 , 18700 , 19500 , 20500 , 20400 , 21300 , 22100 , 22900 , 23400 , 24300 , 24700 , 25600 , 26100 , 27100 , 27500 , 28500 , 29600 
 54 , 15300 , 15800 , 16600 , 16900 , 17100 , 17600 , 18400 , 19000 , 19800 , 20900 , 20800 , 21700 , 22400 , 23200 , 23800 , 24600 , 25000 , 25900 , 26500 , 27500 , 27900 , 28900 , 30100 
 55 , 15600 , 16100 , 16900 , 17200 , 17400 , 17900 , 18700 , 19300 , 20100 , 21200 , 21100 , 22100 , 22800 , 23600 , 24200 , 25000 , 25400 , 26300 , 26900 , 27900 , 28300 , 29300 , 30500 
 56 , 15900 , 16300 , 17200 , 17500 , 17700 , 18300 , 19000 , 19700 , 20500 , 21600 , 21500 , 22400 , 23200 , 24000 , 24600 , 25400 , 25900 , 26700 , 27300 , 28400 , 28700 , 29800 , 31000 
 57 , 16100 , 16600 , 17400 , 17700 , 18000 , 18600 , 19300 , 20000 , 20800 , 22000 , 21900 , 22800 , 23500 , 24400 , 24900 , 25800 , 26300 , 27100 , 27700 , 28800 , 29200 , 30200 , 31500 
 58 , 16400 , 16900 , 17700 , 18000 , 18300 , 18900 , 19700 , 20300 , 21200 , 22400 , 22300 , 23200 , 23900 , 24800 , 25400 , 26200 , 26700 , 27500 , 28100 , 29200 , 29600 , 30700 , 31900 
 59 , 16700 , 17200 , 18000 , 18400 , 18600 , 19300 , 20000 , 20700 , 21600 , 22800 , 22700 , 23600 , 24300 , 25200 , 25800 , 26700 , 27100 , 28000 , 28600 , 29700 , 30000 , 31200 , 32400 
 60 , 17000 , 17500 , 18300 , 18700 , 19000 , 19600 , 20400 , 21100 , 22000 , 23200 , 23100 , 24000 , 24800 , 25600 , 26200 , 27100 , 27500 , 28400 , 29000 , 30100 , 30500 , 31600 , 32900 
 61 , 17300 , 17800 , 18600 , 19000 , 19300 , 20000 , 20700 , 21500 , 22400 , 23600 , 23500 , 24400 , 25200 , 26100 , 26600 , 27500 , 27900 , 28900 , 29500 , 30600 , 31000 , 32100 , 33500 
 62 , 17600 , 18100 , 19000 , 19400 , 19700 , 20300 , 21100 , 21900 , 22900 , 24000 , 23900 , 24900 , 25600 , 26500 , 27100 , 28000 , 28400 , 29300 , 29900 , 31100 , 31500 , 32700 , 34000 
 63 , 17900 , 18400 , 19300 , 19700 , 20000 , 20700 , 21600 , 22300 , 23300 , 24400 , 24400 , 25300 , 26100 , 27000 , 27500 , 28500 , 28800 , 29800 , 30400 , 31600 , 32000 , 33200 , 34600 
 64 , 18200 , 18700 , 19700 , 20000 , 20400 , 21100 , 22000 , 22700 , 23700 , 24900 , 24800 , 25800 , 26500 , 27500 , 28000 , 29000 , 29300 , 30300 , 30900 , 32100 , 32500 , 33700 , 35100 
 65 , 18500 , 19100 , 20000 , 20400 , 20700 , 21500 , 22400 , 23200 , 24200 , 25300 , 25300 , 26300 , 27000 , 27900 , 28500 , 29500 , 29800 , 30800 , 31400 , 32700 , 33100 , 34300 , 35700 
 66 , 18800 , 19400 , 20400 , 20800 , 21100 , 21900 , 22800 , 23600 , 24600 , 25800 , 25800 , 26800 , 27500 , 28400 , 29000 , 30000 , 30300 , 31300 , 32000 , 33200 , 33600 , 34900 , 36300 
 67 , 19200 , 19700 , 20800 , 21100 , 21500 , 22300 , 23300 , 24100 , 25100 , 26300 , 26300 , 27300 , 28100 , 29000 , 29500 , 30500 , 30900 , 31900 , 32500 , 33800 , 34200 , 35500 , 37000 
 68 , 19500 , 20100 , 21200 , 21500 , 21900 , 22700 , 23700 , 24500 , 25600 , 26800 , 26800 , 27800 , 28600 , 29500 , 30100 , 31100 , 31500 , 32400 , 33100 , 34400 , 34800 , 36100 , 37600 
 69 , 19900 , 20500 , 21600 , 22000 , 22300 , 23100 , 24200 , 25000 , 26100 , 27300 , 27300 , 28400 , 29100 , 30000 , 30700 , 31700 , 32000 , 33000 , 33700 , 35000 , 35500 , 36800 , 38300 
 70 , 20200 , 20900 , 22000 , 22400 , 22700 , 23600 , 24700 , 25500 , 26600 , 27900 , 27900 , 29000 , 29700 , 30600 , 31300 , 32300 , 32600 , 33600 , 34300 , 35700 , 36100 , 37500 , 39100 
 71 , 20600 , 21300 , 22400 , 22800 , 23200 , 24000 , 25200 , 26000 , 27200 , 28500 , 28500 , 29500 , 30300 , 31200 , 31900 , 32900 , 33200 , 34200 , 35000 , 36400 , 36800 , 38200 , 39800 
 72 , 21000 , 21600 , 22900 , 23200 , 23600 , 24500 , 25700 , 26600 , 27700 , 29100 , 29000 , 30100 , 30900 , 31900 , 32500 , 33500 , 33900 , 34900 , 35600 , 37000 , 37500 , 39000 , 40600 
 73 , 21400 , 22100 , 23300 , 23700 , 24100 , 25000 , 26300 , 27200 , 28300 , 29700 , 29600 , 30800 , 31500 , 32500 , 33200 , 34200 , 34500 , 35600 , 36300 , 37800 , 38200 , 39700 , 41400 
 74 , 21900 , 22600 , 23800 , 24200 , 24600 , 25600 , 26800 , 27800 , 28900 , 30300 , 30200 , 31400 , 32200 , 33200 , 33800 , 34900 , 35200 , 36200 , 37000 , 38500 , 39000 , 40500 , 42100 
 75 , 22300 , 23000 , 24300 , 24700 , 25100 , 26100 , 27400 , 28400 , 29500 , 30900 , 30900 , 32100 , 32900 , 33900 , 34500 , 35600 , 36000 , 37000 , 37800 , 39300 , 39800 , 41400 , 43000 
 76 , 22800 , 23500 , 24800 , 25200 , 25600 , 26700 , 28100 , 29000 , 30200 , 31600 , 31600 , 32800 , 33600 , 34600 , 35200 , 36300 , 36700 , 37800 , 38500 , 40000 , 40600 , 42200 , 43900 
